S.No,Name,Address,Phone,Email,Source,Type
1,TEMBURU DILLESWARA RAO (63838),ANDHRA PRADESH (Srikakulam) (Kotturu ),8985832170,,Andhra_Pradesh_Volunteers,Original
2,AGATHAMUDI SRILATA (63742),ANDHRA PRADESH (Srikakulam) (Gara ),9291389567,,Andhra_Pradesh_Volunteers,Original
3,DASARI YOGESWARARAO (63869),ANDHRA PRADESH (Srikakulam) (Mandasa ),9573933397,,Andhra_Pradesh_Volunteers,Original
4,MUDADLA CHAKRADHAR (63868),ANDHRA PRADESH (Srikakulam) (Veeraghattam ),9908758528,,Andhra_Pradesh_Volunteers,Original
5,BALIVADA SURENDRA KUMAR (63867),ANDHRA PRADESH (Srikakulam) (Palakonda ),9381761383,,Andhra_Pradesh_Volunteers,Original
6,PUTHI SRAVAN KUMAR (63866),ANDHRA PRADESH (Srikakulam) (Palakonda ),8186829362,,Andhra_Pradesh_Volunteers,Original
7,NITYANANDA BADITYA (63864),ANDHRA PRADESH (Srikakulam) (Ichapuram),9640480629,,Andhra_Pradesh_Volunteers,Original
8,PANCHIREDDY SIVAKUMAR (63863),ANDHRA PRADESH (Srikakulam) (Gara ),9966353032,,Andhra_Pradesh_Volunteers,Original
9,BOMMALI CHANDINI (63848),ANDHRA PRADESH (Srikakulam) (Ichapuram),7702668113,,Andhra_Pradesh_Volunteers,Original
10,BOORE NARENDRA CHAKRAVARTHI (63847),ANDHRA PRADESH (Srikakulam) (Tekkali),9989512521,,Andhra_Pradesh_Volunteers,Original
11,DASARI SHANMUKHARAO (63846),ANDHRA PRADESH (Srikakulam) (Tekkali),9494042926,,Andhra_Pradesh_Volunteers,Original
12,VANJARAPU MOHAN RAO (63843),ANDHRA PRADESH (Srikakulam) (Kotabommali),7893862127,,Andhra_Pradesh_Volunteers,Original
13,BATCHALA NAGARAJU (63841),ANDHRA PRADESH (Srikakulam) (Kotabommali),9177212779,,Andhra_Pradesh_Volunteers,Original
14,GANADUBILLI PAVANKUMAR (63697),ANDHRA PRADESH (Srikakulam) (Amadalavalasa ),7075576526,,Andhra_Pradesh_Volunteers,Original
15,KOTTISA HARITHA (63871),ANDHRA PRADESH (Srikakulam) (Gara ),9966153952,,Andhra_Pradesh_Volunteers,Original
16,PALAPARTI SATEESH (63817),ANDHRA PRADESH (Srikakulam) (Seethampeta ),9492820189,,Andhra_Pradesh_Volunteers,Original
17,ANDI VEERA BHADRAYYA (63745),ANDHRA PRADESH (Srikakulam) (Rajam ),8008929291,,Andhra_Pradesh_Volunteers,Original
18,RAKOTI SHIVA KUMAR (63733),ANDHRA PRADESH (Srikakulam) (Amadalavalasa ),7396243916,,Andhra_Pradesh_Volunteers,Original
19,BASAVA KUSUMA (63747),ANDHRA PRADESH (Srikakulam) (Rajam ),9959900618,,Andhra_Pradesh_Volunteers,Original
